Rank;NOME
204;VIOLA LUCA
204;FIASCHI MATTIA
206;SENATORE VINCENZO
207;BRUNO SIMONE
208;MAMBELLA VALERIO
209;TUCCILLO ALESSANDRO
210;AMATO GAETANO
211;PAPAGNO LORENZO
212;AMORE FEDERICO
213;VISTA MATTEO
214;IAZZETTI MARCO
215;BORRACCINO PASQUALE
216;SANTIGLIANO NICOLA
217;DI CUGNO MANUEL
218;TURINA PAOLO
219;GIORDAN EDOARDO
220;BONANNO ALESSIO
221;NURI ENTONY
222;SANTI RICCARDO
223;SALUSTRI DJEFTE'
224;TEDESCHI FILIBERTI VERO LUCIANO
225;PAOLUCCI GIANMARCO
226;CHIRUMBOLO ANGELO
227;BRUNI LORENZO
228;DI DATO VINCENZO
229;GRAMMATICO ARCANGELI STEFANO
230;ANTONELLI DAVIDE
231;IERVOLINO GENNARO
232;CASERTANO PAOLO
233;CASTRUCCI COTICHINI LUCA
234;MUROLO GIOVANNI
235;DI NARDO ALESSANDRO
236;PASQUINI DAVIDE
237;FERRELLI ANDREA
238;PALUMBO GAETANO
239;SARRA FEDERICO
240;VISCOVO EMANUELE
241;DI PAOLO LUCA
242;TROISI PIERPAOLO
243;NICOLETTI ROBERTO
244;MARINUCCI GIUSEPPE
245;PLASTOW MATTIA KIAN
246;JACQUIER ANDREA
246;ALBINI GABRIELE MARIA
248;CRISTOFORI LORENZO
249;TUZZOLINO IVAN
250;GIUDICI DAVIDE
251;NARIUZZI GIOVANNI
252;ROTTOLI GABRIELE
253;AGRIESTI EMANUELE
254;ZASSO ALEX
255;TUFANO NICOLO'
256;BORRANO ALESSIO
257;LOMBARDI EDOARDO
258;IOTTI MATTEO
259;BERETTA VALERIO
260;BALESTRINO ALBERTO
261;BEDANI VITTORIO
262;CLERI VALERIO
263;TENA RAVENTOS ALBERT
264;RIGHETTO FILIPPO
265;COSTI DAVIDE
266;NIRO FAUSTO
267;SPINAPOLICE ANTONIO
268;CICERCHIA PIERFRANCESCO
269;BARBARESE MATTEO
270;CARANO FILIPPO
271;ANGELACCIO FEDERICO
272;DANIELE MATTEO GIUSEPPE
273;LANARI ILDO
274;CUCCARO FABIO
275;PALMIOLI RICCARDO
276;MORLINO SAUL
277;MALARA PAOLO
278;LUCREZI GINO
279;RUSSO DOMENICO
280;GIORDANO LORENZO
281;PETRILLI EUGENIO
282;PASQUALINO NICCOLO'
283;GAZZEA UMBERTO
284;MASUCCI VALERIO
285;ABOUTALEB HICHAM
286;TESIO GIACOMO
287;COI LUCA
288;GIROTTO MICHELE
289;MANZONI GIANCARLO
290;MAZZONI MARCO ETTORE
291;BARNABE' CARLO MARIA
292;MENEGHELLI GIOVANNI
293;ALBAROSA ANDREAS
294;BORCEA DAVID CONSTANTIN
295;BURIANI AMANUEL
296;MASCHERPA GABRIELE FELICE
296;COLOMBO BLINI DIEUDONNE AMOUR
296;LONATI LEONARDO
299;BRUNO NICOLA
300;CARTA MASSIMO
301;ANELLI RICCARDO
302;TALLARICO VINCENZO
303;MINETTI MICHELE
304;CAFIERO ANTONIO
305;UGGE' GIACOMO
306;BASSANI FRANCESCO DIONIGI
307;MUSOLINO RICCARDO
308;MUCCIANTE PAOLO
309;TASSIN LORENZO
310;ZANZOT GIANLUCA
311;TESTINI ALESSANDRO
312;TERENZANI FULVIO
313;ZANUSSI JACOPO ANGELO
314;SALVE SIMONE
315;DE VIVO RUMBOLDT PIETRO
316;ZIINO FLAVIO
317;ALBERTINI FEDERICO
318;MARTINELLI MARCO
319;PAVONI ALFREDO
320;POGGIO JACOPO
321;MOCCI GABRIELE
322;CORSO FRANCESCO
323;BRUSCA GABRIELE
324;DI MEO FRANCESCO
325;CAMPANALE ULYSSE
325;FAIS DAVIDE
327;SERINO MATTIA
328;GANCITANO GIACOMO
329;RESTIVO ALESSANDRO
330;LOMBARDI GIORGIO
331;ZANNI FEDERICO
