Rank;NOME
208;RIZZATO LEONARDO
209;GRILLI ALESSANDRO
210;EYUPOGLU ALP
211;SALVADORI DARIO
212;COLOMBO SEBASTIANO
213;DURRUTHY SEMUEL LORENZO
214;ZANNI FEDERICO
215;RICHIARDI LORENZO
216;BELCASTRO FRANCESCO
217;D'ATTELLIS PIETRO
218;TOGNELLI GIANLUIGI
219;WONG VINSON JOHN
220;POLLICE MICHELE
221;BURIGANA ALBERTO
222;LENELLI LEONARDO
223;TANZINI FILIPPO
224;ZORZAN RICCARDO
225;MARIANI LORENZO
226;CECCONI NICCOLO'
227;ROCCHINI EPHRAM
228;NISTRI LORENZO
229;CATTANI LORENZO
230;BERTASI JACOPO
231;JURAVLE LUCA
232;PEZZUTO SIMONE
233;MARCHESI PIETRO
234;SABBADIN ALBERTO
235;CINQUE ALESSANDRO
236;STOPPONI LAPO
237;CUCCA DAVIDE
238;RUGGERI DIEGO
239;CAFAGNO SAMUELE
240;TERLIZZI DAVID
241;MALANGONE MARIO
242;LILLI ALESSANDRO
243;SIGNORINI MATTIA
244;LAERA VINCENZO
245;ALTERI DAVIDE
246;VILLANO ALFREDO
247;CAMPANA MANUEL
248;MAGGINI LEONARDO
249;CORSA FRANCESCO
250;CARBONE FRANCESCO
251;CARTIA ANDREA
252;MARTIRE FRANCESCO
253;BUTTÒ RICCARDO
254;VANNUCCI DINO
255;MADEO ALESSANDRO
256;SAMMARRO GIUSEPPE
257;MERLINO FRANCESCO
258;BUTTÒ ALESSANDRO
259;TIRELLA GIORDANO
260;ZACCHERO ANDREA LORENZO
261;MENDIZABAL CAPPADOZZI LEONE ANDREA
262;CIOLI SIMONE
263;VISCIGLIO ANDREA
264;DANERO MATTEO
265;MARRELLI LORENZO
266;POGGIO NICCOLO'
267;D'AVANZO EMANUELE
268;CASAMASSIMA FRANCESCO
269;PRESTA MARCO
270;PIERUCCI GIOVANNI
271;ZANITTI TOMMASO
272;ZAMBON ALESSANDRO
273;EVANGELISTI GIORGIO
274;FRANCO ANDREA
275;ARLATI TOMMASO
276;INGRAVALLE FILIPPO PIETRO
277;CHIUSO MICHELE
278;GUATELLI DAMIANO
279;VIANELLO SAMUELE
280;MELZI ANDREA
281;PANICO MATTEO
282;CARBONE LEONARDO
283;CAMMAROTA RAFFAELE ANDREA
284;FIERRO STEFANO
285;LOPS EUGENIO
286;POMA MATTEO
287;TALOTTA CARLO ILARIO
288;STRANIERO FILIPPO MARIA
289;ROMAGNOLI GIACOMO
290;MICHIELETTI MARCO
291;DALL'AVA GUALTIERO
292;LAPENNA CARLO
293;CUTOLO FIORENZO ELIA
294;MINETTI SIMONE
295;GWIS LEONARDO
296;FORMARO FRANCESCO
297;ANGONESE NICOLO'
298;LAMBERTI CARMINE
299;SAVOIA FILIPPO
300;LAMBERTINI EMANUELE
301;SCOPPI EMANUELE
302;IEZZI ALESSANDRO
303;PERSICHETTI LORENZO
304;MINARINI MICHELE
305;APPICELLI PAOLO
306;BINOTTO SEBASTIAN
307;GOMIRATO MARCO
308;FIORIO GUGLIELMO
309;BACCHIN NICCOLÒ
310;ZACCARIA JACOPO RENATO
311;COLGAN THOMAS
312;GIANNINI LORENZO
313;PARLANTI LORENZO
314;NICOLI GIOVANNI
315;GIOGLIO NUNZIO
316;BERNARDESCHI FILIPPO
317;CANNUCCI ANDREA
318;TORRINI FILIPPO
318;BARTOLI ANDREA
320;BELCASTRO MATTIA
321;MASSA MICHELE
321;GALVAGNO MATTIA
323;TRIOLO LEONARDO
324;MILANESE RICCARDO
325;GIRAUDO TOMMASO
326;COLOMBO MATTIA
327;DE CESARI NICCOLÒ PABLO
328;GIAMELLO LEONARDO
329;MILLO LUCA
330;VANNUCCI MARCO
331;ZANATTA ENRICO
332;MOSI FRANCESCO
333;LECCESE GIOVANNI
334;CORNO TOMMASO
335;FLORIO FRANCESCO
336;CARTIA MATTEO
337;IPPOLITI NICCOLO'
338;CAPODANNO FILIPPO
339;MAZZARINI ARNAU
340;ARMENTANO FRANCESCO
341;IOVINO ALFONSO
342;POZZI DAMIANO
343;BELLELLI DARIO
344;CASAVECCHIA ALESSANDRO
345;NOUBLANCHE-OTTOLENGHI RAPHAEL
346;SAGGESE GIUSEPPE
347;PAGANO RAFFAELE
348;DI PIETRO FRANCESCO VALERIO
349;CERINO MARIO
350;MINGRONE FRANCESCO
351;ROSSI JACOPO
352;MARINI GABRIEL
353;NACI SAMUEL
354;MANCINI GIOELE
355;BELLAFANTE MATTEO
356;PORPORA GUGLIELMO EMANUELE
357;IMBLEMA ANTONIO
358;LUCREZI GINO
359;SASSO CARLO
360;MICCOLIS SIMONE
361;AURIEMMA DOMENICO
362;ACANFORA GIUSEPPE
363;BARLETTA MATTIA
364;IOVENE GIOVANNI
365;BOTTARI LEONARDO
366;BIFFI GIAMMARIA
367;CENTONI ALESSANDRO
368;RONZULLI ROBERTO
369;CASTORI GIULIO MASSIMO
370;ADDESSO MATTEO
371;PAVONI ALFREDO
372;CODOGNATO PERISSINOTTO ZENO
373;CRESCENZI GIOVANNI
374;CHIOVELLI GIULIO SPARTACO
375;MANFRÈ NICOLA
376;BENNATI ALESSANDRO
377;ZHOU YI HAN
378;DI PINO ANDREA
379;LAVIOLA GABRIELE
380;CARNOVALI ENEA SANTIAGO
381;ROTONDO ALESSANDRO
382;LEKA JONATHAN
383;CORTELEZZI ALESSANDRO
384;NADDEI LEONARDO
385;MAGLI FRANCESCO
386;MEDVEDEV MARTIN
387;RENZONI FEDERICO
388;FAVERO LORENZO
389;CANTARELLA DOMENICO
390;ZARRILLI JACOPO
391;MARCHESIN ETTORE
392;TONON GABRIELE
393;BUFFOLI FRANCESCO
394;VASI GIACOMO
395;BAZZI FILIPPO
396;STRADI MARCO
397;FRANGIONI GUIDO MARIA
398;DE PICCOLI FRANCESCO
399;NOSTRI LUCA
400;LAUTO ANGELO
401;LEONARDUZZI JACOPO
402;ZUCCHET EDOARDO
402;VITALE EMANUELE
402;RUOPPOLO LUCA
405;DI PALMA PAOLO
406;GANCITANO GIACOMO
407;PIERAMATI FLAVIO
408;EL YAMOUNI BADR
409;BONATO JULIAN
410;FENNER GEORG FRIEDRICH
411;SANTARELLI ALESSIO
412;NARDOZZA GIANDOMENICO
413;COSSA GIOVANNI
414;GAMBITTA GIOVANNI
415;POZZUOLI GIORGIO
416;QUARZO GIULIO
417;CECCHI GIANMARCO
418;LORENZINI NICOLO'
419;MORO SAMUELE
420;STURNIOLO CRISTIANO
421;COCCIA PAOLO
422;D'ELIA LORIS
423;DEMAURO CARLO
424;PASCALE CARMINE
425;PICCIRILLI PAOLO
426;ROSSI DANIELE
427;MAIORANO SAMUELE
428;TESSARI ROBERTO
429;GUANTI VITO LEONARDO
430;BUNIATO FRANCESCO
431;TORELLA DAVIDE
432;NOCERA RINO
433;ABATE LEONARDO
434;BORDONE ANDREA
435;WENCEL ANTOINE
436;CAHIS REIXACH ELOI
437;CROSTA GREGORIO
438;REGINA ENDY KAROL
439;GROSSATO GREGORY
440;CAPPELLETTI LUCA LORENZO
441;MERELLO EDOARDO
442;BONACINA PAOLO ANTONIO
443;ROSSI RICCARDO
444;ARCAINI RICCARDO
445;GHITTI MICHELE
446;BONAFFINI ALESSIO GIUSEPPE
447;VERZELETTI MATTEO
448;BOZZOLA MATTEO
448;BERGESE RAYAN
450;DONATI BRANDO
451;ZAVAN FEDERICO
452;ORSINI MICHELANGELO
452;SISTO PAOLO
454;LIU HAOHONG
454;GARNERO ANDREA
456;SIMONELLI RAFFAELE
457;GALBIATI LEONARDO
458;MIGNANEGO EDOARDO
459;ELEFANTE PIETRO
460;ROMEO JACOPO MIAZAR
460;IACOPI NIKOLAS
462;MONTAGNER ALBERTO
463;XU YAN
464;MUSOLINO RICCARDO
465;QUAGLIOTTO FILIPPO
466;VIRGILIO MARCO
467;AGUILERA LUIS HUMBERTO
468;CAGNAZZO ANTONIO
469;CARRARO RICCARDO
470;MARTINELLI MARCO
471;BIONDI SIMONE
472;CERBELLA EMANUELE
472;LO BUGLIO GIOVANNI
474;SPEZZAFERRO ALBERTO MARIA
474;MUSMECI SALVATORE GIUSEPPE
476;GAMBETTI TOMMASO
477;VARONE FRANCESCO
477;BALZANO MARCO
477;CUBEDDU ALBERTO ANGELO
480;MOCCI GABRIELE
481;BOTONDI JACOPO
482;ITALIA PIERPAOLO
483;CALIGIURI MATTEO
483;PUGLISI FEDERICO
485;MAINO ANDREA
486;MAROTTA MARCO
487;NACCARELLO FEDERICO
488;GRANDICELLI ETTORE
489;SCIALANGA FILIPPO
490;TROIANO ANTONIO
491;FIESOLI EDOARDO
491;QUARTARONE FABIO
493;SANCHINI LUCA
493;PALA GIUSEPPE
495;MASALA MARCO
496;SARETTA MASSIMO
496;ORTU GIUSEPPE
498;TOMASI MATTEO
498;ANGELINI CRISTIANO
498;RONDELLI MARCO
501;DEMIANOV MYKHAILO
502;SERIOLI GIACOMO BAO
