Rank;NOME
216;FEDERICI SVEVA
217;TADDEINI ELENA
218;BAGLIO VIOLA ANNA
219;PONTRELLI CLEMENTINA
220;FACCIOLI GINEVRA MARIA
221;IACOMONI REBECCA
222;CAMPARA EMMA
223;BARGAGNA SARAH
224;MARCHETTO MARGHERITA
225;TACCHINI EGLE
226;DE CARLI GIOIA
227;KARMAOUI MANAL
228;LINGUA VITTORIA
229;BIGOLIN GABRIELLA
230;SERRAPICA GIUSEPPINA
231;ZONI LEA
232;LORITO LUCIA VIRGINIA
233;MATTIELLO LICIA
234;ANELLI YUMI
235;FUCCI NATALIA
236;BALZINI ALESSIA
237;LAZZARETTI LUDOVICA
238;BETTO CATERINA
239;ROSSI CHIARA
240;DE COL MATILDE
241;CAPPELLINI GIADA
242;PANCRAZI VALENTINA
243;PIZZINI CAROLINA MARIA
244;SCARSELLI CATERINA
245;MANCIN VERDIANA
246;DE SANTI FRANCESCA
247;MARINO GIORGIA
248;MAIOCCHI AMELIE
249;SCARSO CARLA
250;TAMOSIUNAITE GRETA
251;SIMONE SILVIA
252;GENTILE SWAMY
253;PAOLILLO IRIDE
254;PAGANO CINZIA
255;DE FALCO GINEVRA
256;PAONI MARGHERITA
257;GENTILE YLENIA ANNA
258;DI PIETRO VIRGINIA
258;TAMBURRIELLO ELSA MARIA
260;DATTILO GIULIA
261;DI MARTINO MARIADORA
262;PRINZI FRANCESCA
263;CUZZOLA KAROLA
264;VENTURINI REBECCA
265;TESSARI ALICE
266;CASELLI ALICE
267;LI BRIZZI MARCELLA
268;CATTANI CAMILLA
269;GODONE MATILDE
270;ACCORRÀ SVEVA
271;MASSAIA DAISY
272;NEGLETTI CATERINA
273;CASALE ANNA LISA
274;CATTARUZZA GIOVANNA
275;IZZO VALENTINA
276;MAFFIA MARTINA
277;AIROLDI SARA
278;FOGLIATA ALICE
279;AVENTI MARGHERITA MARIA
280;GALLINA NICOLE
281;MORANDINI GINEVRA
282;STREGHI MONTAUTI SARA
283;SGRIGNA EMMA
284;CORRADINI ELETTRA
285;KATZURIN NAIDE
286;VINCIGUERRA ALESSANDRA
287;MARAZZI MADDALENA
288;ZANI EMMA
289;MUSSO LUCIA
290;VALENTINI ANNALISA
291;BLANCATO DI STEFANO MIRIAM
291;PANI DILETTA
291;ERA RACHELE
291;CALOGIURI CAROLA
295;POZZATO BENEDETTA
296;MARTINI LAVINIA
297;FUSTA VITTORIA
298;PIVARI IRENE
299;CATARZI ELEONORA
300;MIGLIORINI CLARA
301;PELLICANÒ GIULIA
302;LOTTI LAURA
302;OSSINO GIOIA
304;CAREDDU MARIA
304;PICARONE LUDOVICA
306;CARACCIOLO RACHELE
306;FADDA GLORIA
306;FERRI MELISSA
309;ZAPPIA AIDA
310;PENDOLA CECILIA
311;COLANTONIO IRIS
312;GRISANTI LUDOVICA
313;LISI ALICE
314;MELLAS MELANIA
315;FUSTA VIRGINIA
316;MASCOLO GLORIA
316;INTAGLIATA GRETA MARIA
316;FANELLI CECILIA
319;PERINI NINA
320;CINOTTI ALESSANDRA DORALICE FUTURA
321;INCORVAIA LAURA
322;LEOTTA FEDERICA
323;SBRANA EMMA
323;SINIGALIA FRANCESCA
325;LA MANTIA ELEONORA
326;FIORANI LAURA
327;BARTOLINI CECILIA
328;SETTE FRANCESCA
329;SENESI NORA
330;ACACIA CARLA
331;ORLANDO SIMONA
332;PAGLIARULO ALICE
333;ORLANDO FRANCESCA
334;ORLANDO MATILDE
335;FRUGONI ELISABETTA
336;RIDOLI CHIARA
337;GELPI AGNESE
