Rank;NOME
218;VISCARDI ALICE
219;BARAGIOTTA VITTORIA
220;GIULIANI NICOLE
221;POLITELLI ANASTASIA
222;BONECHI BEATRICE
223;FABRIZI GIULIA
224;CHIACCHIO LAURA
225;SENATORE FRANCESCA
226;CIANI CAROLINA
227;ROSANI SUSANNA
228;GALBIATI MARTA
229;CUCCHIARA AURORA
230;GAUDINA GIORGIA
231;BUA MATILDE
232;DEL REGNO CLAUDIA
233;COTUMACCIO CHIARA
234;MORA LUCREZIA
235;DE LAZZARI VITTORIA GAIA
236;FERRU CHIARA
237;MONDELLI CAMILLA
238;CAPONE ELOISA
239;LA TORRE MARIA EMANUELA
240;VARTYVANOVA TETIANA
241;BENTIVOGLI ANNA
242;DALLA VILLA ANITA
243;OLIBONI CHIARA
244;POGGI MARGHERITA
245;GRASSO AGATA ALBERTA
246;BERNARDIS MARIA CHIARA
247;BENEDETTI VERONICA
248;ANGRISANI VITTORIA
249;DE SIMONE CARLA
250;PRAMPOLINI IRENE
251;AMATO SVEVA
252;DEL PAPA BENEDETTA
253;ROBBI FEDERICA
254;ZEDDA SIMONA
255;BERNARDO ANITA
256;PORTACCI MATILDE
257;LO BASCIO MARTA
258;GALLERO-ALLOERO ANITA
259;QUAGLIOZZI GIULIA
260;FIZZOTTI FEDERICA
261;TORRICELLI ISABELLA
262;PENNISI IRENE
263;GADALETA ANNA
264;RETILLO CARLOTTA MARIA
265;MEDINA CERRATO ELEONORA
266;DI GNEO CRISTIANA
267;KUMARI PAYAM
268;BIFFI VALENTINA
269;CAVALLO FRANCESCA ROMANA
270;SILVA MARCELA
271;BREGLIA ANTONIETTA
272;TAGLIABÒ FRANCESCA
273;CASTAGNOLI CHIARA
274;PASQUINO ROSSANA
275;BRUNATI SOFIA
276;BALDRATI MARTA
277;CONTI VANESSA
278;CASSINA MATILDE
279;CRAVERO LUCIA
280;NASCETTI SILVIA
281;MARKOWSKA JULIA ANNA
282;CAFFINO SARA
283;BIAGINI ALESSIA
284;NASCHINI MARZIA
285;PALMIERI ARIANNA
286;CORNEGLIO GIULIA
287;GRECO SILVIA
288;BORTOLUSSI GAIA
289;CHIAROLANZA MARIACAROLINA
290;BECUCCI SABRINA
291;DI NORCIA MILENA
292;DI LEO LIVIA
293;ZANOTTI MADDALENA
294;NEGRONI ANITA
295;BARERA FRANCESCA BENEDETTA
296;ZALIANI ALICE
297;SALADDINO SARA
298;GALEAZZI FLAVIA
299;BIRIUKOVA ZLATA
300;PASIN LARA
301;BARATTA MARGHERITA
302;BELLI CATERINA
303;KAINE JULIET
304;DIENG FATOU
305;ALBANESE ELENA
306;VELA LAURA
307;LI BRIZZI MARCELLA
308;PIERINI MICHELA
309;MOROSI FRANCESCA
310;SOMMA GIOVANNELLA
311;ANTONUCCI ELENA
312;RINAUDO ALICE
313;MOSCONI ARIANNA ELISA
314;CALDARONE GIORGIA
315;DELFINO LAVINIA
316;BOSCARELLI FRANCESCA
317;MOLINARIO GINEVRA
318;OSLAND TERESA
319;JAREK CAMPIOLI MAGDALENA HELENA
320;CASTANO EMMA
321;PELLICANÒ MARIACHIARA
322;PURICELLI LAURA
323;COSENTINO CHIARA
324;SCHALM SHERRAINE RENÈ
325;SALATINO MARTINA
326;MARCELLO DEL MAJNO ANNA
327;RUSCITTO ALESSIA
328;GRASSO LUCIA
329;DONATELLI TERESA
330;GIANNICO ELENA
331;LOTTI LAURA
332;ALDANA JULIAN NAIARA
333;CAPOCCETTI ADELE
334;CATTA MARIA IRENE
335;SPINA VITTORIA
336;TASSANO AGLAIA
337;VILLA ALESSANDRA MARIA CRI
338;BRIGANTI INDIA
339;TROPEANO ALESSIA
340;CAMPOLONGO SERENA
341;ACHENZA FRANCESCA
342;SEGATTO ALESSANDRA
343;GIAMPIERI ELENA
344;CAVANI VITTORIA
345;AY USE CISEN
346;FAVA SABINA
347;COCCO ELEONORA
348;CESARINI GIULIA
349;BECECCO ANNA
350;FILACORDA LUCIA
351;PALOMBA ILARIA
352;LUCIFORA AGNESE
353;MARCOCCIO ASIA
354;FONTANELLA MARIA
355;DEMMA VITTORIA
356;BALDINI MARTINA
357;MIKOLIC IVANA
358;LIGNOLA ANNA MARGHERITA
359;VINCIGUERRA GIULIA
360;CASULA ROSA MARIA
361;MAIORANO SABA
362;TESSARI SARA
363;DATTOLA MIRELLA
364;GRISANTI GRETA
365;VINCIGUERRA ALESSANDRA
366;TAMOSIUNAITE GRETA
367;URANIA STEFANIA
368;MARTELLI VERONICA
368;DI FRANCESCANTONIO OLIMPIA
370;PELLICANÒ GIULIA
371;GIORGI AGNESE
372;CHRAIM ZAKIYA
373;GIOVANNETTI ELISABETTA
374;CORSARO VIOLA
375;GALLO CHIARA
376;CHITARRONI MARILISA
377;BAGNOLO LIA
378;OBINO MARIA LAURA
379;MARANI ANITA
380;MASSI ALICE
