Rank;NOME
211;VINALES IZNAGA YOSNIEL
212;CINI ALESSANDRO
213;BUTLER JAMES
214;MILANOLI PAOLO
215;ABATE RICCARDO
216;AMODIO ANDREA
217;MARESCA MASSIMILIANO
218;SABATINI DAVIDE
219;RESEGOTTI MATTEO CLAUDIO
220;PERUGINI ALESSANDRO
221;LOFFREDO DARIO
222;DE MARTINO SPIRIDIONE
223;RAULE GIOSUE'
224;MENCIASSI MATTEO
225;PANICO RICCARDO
226;BRAVI FEDERICO
227;PALA GIUSEPPE
228;LANARI FEDERICO
229;BRILLO GABRIELE
230;MONZIO COMPAGNONI FRANCESCO MATYAS
231;PERRI RAFFAELE
232;LATTARULO MARCO
233;AUTIERO MATTEO
234;MORANO TOMMASO
235;ROSSI MARCO
236;MAIOCCHI GIOVANNI MARIA
237;VOLPI LORENZO
238;BOMBRINI ANDREA
239;BAGATTO MATTIA
240;SINATRA GIOVANNI
241;ANCONA DAVIDE
242;FERRAUTI FRANCESCO
243;ANDRETTA ALESSANDRO
244;PORTA ANDREA
245;RODRIQUEZ CARLO
246;GUERRA FEDERICO
247;CECCHET MICHELE
248;CARRIERE EDOARDO
249;RIGHETTI PIERFRANCESCO
250;PELLITTERI MARCO
251;FONTANA DANIELE
252;VARONE FRANCESCO
253;CORSINI FRANCESCO
254;SCIALANGA FILIPPO
255;CASALEGNO MATTEO
256;PIGHI ZENO
257;RUTOLI LUIGI
258;CASTIGLIONE SALVATORE
259;PETROCCA ALBERTO
260;PAOLETTI RICCARDO
261;AMENTA ALBERTO SEBASTIANO
262;CIRILLO GREGORIO
263;PARCHI EDOARDO
264;LOMBARDO WALTER
265;MEUTI ANDREA
266;ROVERE CARLO LUIGI
267;BENTIVOGLI LEONARDO
268;NATALE PIETRO
269;VILLA MARIO
270;DI GIORGIO DOMENICO
271;DIVITTINI CRISTIAN
272;DAIDONE GIULIO
273;CIANCI LUCA
274;GAI ANTONIO ROMAN
275;PETRACCI GABRIELE
276;SALATINO ANTONIO
277;LOMBARDO GIOVANNI MARIA
278;SEMPRONI GIORGIO
279;MUSA ROMANO EDOARDO
280;CASTRO FEDERICO
281;BUGARI MATTEO
282;GUERRA FILIPPO
283;GALLI MILO
284;UFFICIALI ANDREA
285;SEGURINI FRANCESCO
286;TIBERTI TOMMASO
287;NANI MAURIZIO
288;PASOTTI RICCARDO
289;GIACHETTI DAVIDE
290;VAIRA GIUSEPPE
291;CERASE DANIELE
292;FRANCO ANTHONY VICTOR
293;CERINO MARIO
294;MONACO VALENTINO
295;MASSIMINO EDOARDO
296;MICOZZI GIANLUCA
297;BARALDI DANIELE
298;COLASANTI ALESSANDRO
299;FRANCA RICCARDO
300;BERNINI GIACOMO
301;DI COSTE MATTEO
302;GAUDIO TOMMASO
303;CONTIN ISAIA
304;GIOVITA GABRIELE
305;PECH GIULIO
306;MENEGHINI FRANCESCO
307;FONTANA PAOLO
308;VOLPI JHONATHAN
309;ERRICHIELLO ANGELO
310;ROCCO ADRIANO
311;BERTI ALESSANDRO
312;GHIDOTTI MATTIA
313;GIATTI FEDERICO
314;BOZZO EDOARDO
315;INGROSSO ALESSIO
316;BETTINAGLIO NICOLÒ
317;BOSSALINI ANDREA
318;ATKINSON WILLEM
319;BERTACCINI MATTEO
320;PERNICIARO MICHELE
321;FOTI ERRICO
322;SABBADINI NAMBIN
323;IVALDI GIORGIO
324;FORTI LEONARDO
325;CORTINI LEONARDO
326;MOSI FRANCESCO
327;LILLO RAFFAELE
328;MERENDI MANUELE
329;DIANA EDOARDO
330;VACANTE GAETANO
331;D'ANGELO RICCARDO
332;ANICHINI PIERLUIGI
333;VISTARINI PIETRO ANGELO
334;BELLAFANTE MATTEO
335;COMERO MIRKO
336;HEIM CHRISTIAN
337;OGGIONNI MARCO
338;MARCHETTI LUDOVICO
339;TORRISI GIUSEPPE
340;SCIORTINO FRANCESCO
341;D'ARIENZO GIOVANNI
342;DE MARIA RICCARDO
343;LODATO FRANCESCO MARIA
344;DUIZ LUCA
345;DI LAZZARO ALESSANDRO
346;FRAGIOTTA CARLO
347;PIANCA GIULIANO
348;CARUGO RIVER
349;LATTANZI MARCO
350;BARBONI FEDERICO
351;CARTA MARCELLO
352;BACCHIEGA GIACOMO
353;SOMMA SALVATORE
354;RIZZO GIUSEPPE MATTIA
355;IPPOLITI NICCOLO'
356;SANTARELLI ALESSIO
357;DEMOFONTI FABRIZIO
358;KRISTANCIC ADRIANO
359;IELO LUCA
360;CACCIALUPI MARTINO
361;GALLO ANDREA
362;SCHIAVINA MARCO
363;LO CONTE EDOARDO
364;FUMAGALLI LORENZO
365;FLOCCO ANDREA
366;CICOIRA MARIO
367;PIERINI TOMMASO
368;MARINETTI MICHELE PIETRO
369;SERVA JACOPO
370;PIZZOLANTE GIACOMO MARIA
371;PERRONE RICCARDO
372;BRUNO ALESSANDRO
373;CARAMIA CARLO
374;LOMBARDI MATTEO
375;MIRAGLIOTTA NICOLA
376;SACCONE ANDREA MARCO
377;GEMELLI ANDREA
378;MAGNANI FRANCESCO SAVERIO
379;IEIE CRISTIAN
380;DACHILLE VALERIO
381;PIGNATELLI IANNUZZELLI LEONARDO
382;ROSIELLO SIMONE
383;GIACCHETTI JETMIR
384;TEGLIA TOMMASO
385;FALCINELLI TEO
386;PIRAS MATTEO
387;SURIANO ANDREA
388;FONTE ALESSANDRO
389;PILI EMILIO
390;TIRALONGO SALVATORE
391;GALLI ELIA PIETRO
392;STELLA DAVIDE
393;TRIUNFO ANDREA
394;PERLINI ROBERTO
395;BRAMBULLO RICCARDO
396;ARROYO PANIAGUA CHRISTIAN
397;BIONDI LEONARDO
398;NARCISO FABIO
399;SGROI LORENZO
400;FADDA GIORGIO
401;MUCIG DIEGO
402;GRECO PAOLO
403;DI PIETRO FRANCESCO VALERIO
404;GIUPPONI TOMMASO
405;DE MARZO GIOVANNI
406;CASTELLANO GIULIO
407;SONLIETI ALESSANDRO
408;CAMILLERI MATTHIEU
409;DE MAGISTRIS ANDREA
410;SETTECASI EDOARDO
411;CAPPELLETTI RICCARDO
412;VERONESE FEDERICO
413;FERGNANI DENNI
414;SONNESSA NICOLÒ
415;BELLAN FEDERICO
416;PERONE FRANCESCO
417;BRUSINI EMANUELE
418;SAMBUCO MIRCO
419;ALBERTARELLI LUPO MARIA
420;VENDRAMINI MARCO FRANCESCO
421;ALONGE TOMMASO
422;TOMBOLINI KYLE
423;CASELLA FEDERICO
424;MADDALENA MATTEO
425;FRATTONI TOMMASO
426;CASTORI GIULIO MASSIMO
427;DI MARZIO ADRIANO
428;BARTOLUCCI MICHELE
429;SANTISE ALBERTO ANUI
430;LOVISA EDOARDO
431;COLLO GABRIELE MARIA
432;PICCIRILLI PAOLO
433;VALKENBURG MATTHEW
434;SEINI LEANDRO
435;RIBAUDO LUCA
436;NUNZIATA RENATO
437;OSSOWSKI RADOSLAW
438;BIOLETTI CHARLES
439;BENSON ZACHARY
440;MONTANARI MARCO
441;LAMBERTINI EMANUELE
442;BRIGNOLI FILIPPO
443;VALENTE ANDREA
444;GIORDAN EDOARDO
444;GALVAGNO MATTIA
446;MASSA MICHELE
447;IACOANGELI CRISTIANO NICOLA ROMANO
448;PAOLUCCI GIANMARCO
449;GIANNANGELI GABRIELE
450;GABUTTI DARIO
451;CEDRONE RICCARDO
452;ALESSANDRO FEDERICO
453;TAZZIOLI PAOLO
454;COSTI DAVIDE
455;ALBINI GABRIELE MARIA
456;BUCCI SAVERIO
457;AVANZOLINI FABIO
458;RODIA FEDERICO ALFONSO
459;TOGNARINI GIANMARCO
460;POLI ALESSANDRO
461;BOSI GUIDO
462;AURIEMMA CARLO LAM THANH
463;BOTTACIN ENRICO
464;PICHLER MARCO
465;DE GAETANO PIETRO
466;ORTONE GIACOMO
467;ALBIZZATI MIRKO
468;MEZZABOTTA PIETRO
469;SQUEO BENEDETTO
470;FERRO DAVIDE
471;BACCHIEGA GREGORIO
472;SCICOLONE DAVIDE MARIA
473;FARINA MASSIMO
474;CETOLONI ANDREA
475;ADDESSO MATTEO
476;POMERO ANDREA
477;NIRO FAUSTO
478;VIOLA PIERFRANCESCO
479;CALDOGNETTO MATTEO
480;BUSANO MAURIZIO
481;SPIGA DAVID
482;VAGLINI MICHELE
482;SEVERGNINI GUIDO
484;VALTRIANI GABRIELE
485;DIPANATI TIZIANO
486;MADEO ALESSANDRO
487;BELVISO MARCO
488;VILLANI EDOARDO
489;ONESTI ANDREA
490;FUSIELLO LEONARDO
491;PENSATO TOMMASO
492;PIRANI CLAUDIO
493;DI MATTEO ROBERTO
494;TORACCA LORENZO
495;LUCARELLI FEDERICO
496;GALLERO-ALLOERO NICOLA
497;TATARANNO PAOLO
498;UBERTI FRANCESCO
499;MANZON TOMMASO
500;SGRINZI ANDREA
501;PISTACCHI VALERIO
502;PACE VALERIO
503;PIETROBELLI GIACOMO PATRICK
504;DINELLI ANDREA
